,0,1
277,σταθμόν,610
278,ἄριστος,608
279,Τίτος,606
280,δικαστής,606
281,maximo,606
282,θεῖος,603
283,ἔξεστι,600
284,ἀγορά,599
285,Ἀσκληπιός,595
286,ξενών,592
287,posuit,590
288,Ἕλλην,588
289,κῆρυξ,586
290,προστάτης,585
291,κυρία,583
292,τόκος,582
293,πυρρός,582
294,λέων,581
295,Σεβαστός,577
296,φέρω,575
297,ἱερή,575
298,ἑκάτερος,568
299,παραδίδωμι,565
300,Ἀφροδίτη,562
301,ex,561
302,μάρτυρος,560
303,ἄστατος,556
304,λάω,555
305,ἀπολλοδώρου,552
306,λεία,552
307,γυναικεῖος,548
308,ἐμός,547
309,πολιτεία,547
310,ἔγγυος,547
311,pro,544
312,aurelius,544
313,πάρειμι,542
314,οἶδα,541
315,ἐπιφανής,541
316,filio,541
317,νέω,536
318,ἐπιμέλεια,536
319,δημαρχικός,536
320,augusto,536
321,δάμωι,533
322,μέρος,531
323,Ἀλέξανδρος,531
324,ἰνδικτιῶνος,529
325,ἐθέλω,527
326,φλ,526
327,ὁδός,525
328,filius,525
329,Θεσσαλός,524
330,ἔφηβος,522
331,Μακεδών,519
332,ἑξάμηνος,519
333,ὁλκός,518
334,νος,517
335,παραγίγνομαι,517
336,εὐτυχής,517
337,κελεύοντος,516
338,ἀθάνατος,514
339,νύμφη,512
340,ν,510
341,σύμμαχος,509
342,νῆσος,509
343,ἔρχομαι,506
344,ἀγωνοθέτης,506
345,ηη,505
346,γράμμα,504
347,ἐγκτάομαι,503
348,δρα,502
349,φιλόξενος,500
350,Σάτυρος,499
351,σπουδή,499
352,Ἀργεῖος,498
353,τέμενος,498
354,Ἀθῆναι,498
355,λυσίμαχος,497
356,συντελέω,497
357,δακτύλιος,493
358,θαλλός,492
359,κληρονόμος,492
360,εὐεργεσία,490
361,Σάμος,487
362,δόσις,485
363,παραλαμβάνω,483
364,δεῖ,482
365,ἥμισυς,482
366,ἡγεμών,481
367,γ,476
368,δόγμα,476
369,ψάφισμα,474
370,κώιων,473
371,γραμματεύοντος,472
372,ιιι,472
373,μνείας,472
374,ἱέρεια,469
375,ἀριστόβουλος,469
376,ἶδος,466
377,ἀνθύπατος,465
378,ἀριστόμαχος,463
379,χράω,462
380,νίκη,461
381,πρέσβυς,461
382,μισθόω,457
383,στρατηγοῦντος,457
384,ἀδελφή,456
385,Μιλήσιος,456
386,ῥυμός,454
387,ἀστυνόμου,454
388,παλαιός,452
389,σύνοδος,452
390,Ἐλευσίνιος,451
391,iii,450
392,δέω,449
393,θεόδοτος,447
394,ἱερεῖον,446
395,Βοιωτός,445
396,ἀνέθεκεν,441
397,μῆνις,440
398,Αἰτωλός,439
399,χρυσίον,437
400,γυμνασιάρχης,437
401,ἀντοχέομαι,437
402,δέχομαι,436
403,ἁδριανοῦ,436
404,ὀφείλω,432
405,δημητρίου,428
406,τύπος,427
407,θεωρός,426
408,φιλία,425
409,κεφαλή,425
410,παντοδαπός,423
411,π,421
412,caesari,420
413,δικαιοσύνη,419
414,τέλος,418
415,ὑοθεσίαν,418
416,νάω,416
417,ἔδω,416
418,ὅσος,415
419,ἀγαθεῖ,415
420,ψῆφος,415
421,πολύξενος,414
422,bene,414
423,Ὀλύμπιος,413
424,ἀποτίνω,412
425,εὔχομαι,411
426,τύχει,411
427,ἀξιόω,408
428,Σωκράτης,407
429,στρατιώτης,407
430,Δελφός,406
431,ἔνδοξος,406
432,Διονύσια,405
433,ὁράω,403
434,δυνατός,402
435,Ἥρα,402
436,ζάω,400
437,δηνάριον,400
438,τὴμ,399
439,νόος,399
440,Ἀχαρνεύς,397
441,τίμιος,397
442,ἥμερος,397
443,imperator,397
444,διοδώρου,396
445,imperatori,395
446,αὐρήλιος,394
447,marcus,394
448,ἀρχέλαος,393
449,ἄνθρωπος,393
450,υἱωνός,393
451,παρακαλέω,392
452,ὧιτε,392
453,πυλαῖος,392
454,δέκατος,391
455,τρόπος,391
456,πρᾶγμα,391
457,πίστις,390
458,μερίζω,390
459,χαλκός,389
460,συμφέρω,389
461,πρᾶξις,387
462,κρίνω,386
463,τέταρτος,384
464,δάκτυλος,383
465,ἰουλίου,383
466,δύναμαι,382
467,σκάφιον,382
468,σιμός,380
469,χρήσιμος,380
470,μέταλλον,379
471,ἐλάσσων,378
472,θύρα,377
473,παρθικοῦ,377
474,Μάρκος,377
475,τεχνίτης,376
476,ψυχή,376
477,τύμβος,376
478,ἀριθμός,375
479,ἀπογράφω,375
480,ῥώμη,374
481,μητρόπολις,373
482,μοῖρα,372
483,μνημεῖον,372
484,πανήγυρις,372
485,ἐπιστάτης,370
486,βασιλεύω,370
487,ἀνάθεσιν,370
488,ἀπολλόδωρος,369
489,συμπρόεδρος,369
490,γονεύς,369
491,ὑγίεια,365
492,πέμπω,365
493,γλυκύς,364
494,ἄσυλος,364
495,βεβαιωτῆρες,364
496,Ἰώ,363
497,Λεύκιος,363
498,σύνεδρος,363
499,ὀφθαλμός,362
500,λαγχάνω,361
501,λύκος,360
502,χοῖρος,358
503,ὦνος,358
504,Θηβαῖος,358
505,πλινθείωι,358
506,τελευτάω,357
507,κλέωνος,356
508,ἐξίστημι,356
509,l,356
510,πρόσωπον,356
511,μνημῖον,356
512,βοῦς,355
513,ἐπιστατέω,355
514,δεσπότης,355
515,Ἑρμαῖος,354
516,optimo,354
517,ἐφάπτω,354
518,ἀπελεύθερος,352
519,Ἡράκλειος,352
520,τὸμ,350
521,ἀνδρεῖος,350
522,salute,350
523,λείπω,349
524,πολέμαρχος,349
525,εὐκλεής,349
526,Ποσειδῶν,349
527,καῖσαρ,349
528,δῆλος,347
529,ἐπώνυμος,347
530,δαπάνη,347
531,αἴλιος,347
532,Παυσανίας,346
533,θνήσκω,346
534,ἔπαρχος,346
535,κρίσις,344
536,θέληι,344
537,ἄθαμβος,344
538,ψηφίζω,343
539,Ζήνων,343
540,προσκύνημα,343
541,λ,342
542,Μάγνης,341
543,δάμωνος,339
544,iovi,339
545,Λύκιος,338
546,τάφος,338
547,θέλη,338
548,καθίστημι,336
549,κεφάλαιος,336
550,χοῦς,336
551,imperatoris,336
552,κομίζω,335
553,ἔλαιον,334
554,αὐρηλίου,333
555,γερμανικοῦ,333
556,κτίστης,331
557,ηηη,330
558,Πειραιεύς,330
559,est,330
560,νίκωνος,330
561,caius,330
562,νέρουα,330
563,otum,329
564,ὅρκος,327
565,μνῆμα,327
566,ἀνέφαπτος,327
567,coloniae,327
568,ἐπιδέκατος,326
569,ζεῦγος,326
570,ἐπιδίδωμι,326
571,ἀμύντας,326
572,merenti,326
573,ἀνέφαπτον,326
574,ἁμός,325
575,β,325
576,Ἀφροδίσιος,325
577,ἀντωνείνου,325
578,δύο,324
579,πατρῷος,324
580,Λούκιος,322
581,hic,322
582,δύναμις,321
583,ἄστυ,321
584,δεκάτη,321
585,συλέοντες,321
586,m,320
587,βουλευτής,319
588,αὐρήλιος,319
589,κτλ,318
590,δῶρον,318
591,ἐντυγχάνω,318
592,ηηηη,318
593,τελέω,316
594,πτολεμαῖος,316
595,caesar,316
596,ὗς,315
597,ἐάω,314
598,iulius,314
599,Χριστός,314
600,κελεύω,313
601,τοῖχος,312
602,στάδιον,312
603,ὅλος,312
604,potestate,312
605,ig,312
606,παράμονος,311
607,Ἀμφικτύονες,311
608,αὐλός,311
609,καρπός,311
610,εὐνοίας,311
611,ἀρίσταρχος,309
612,συγγενής,309
613,tribunicia,309
614,φιάλιον,308
615,λιθίνει,307
616,νομός,307
617,αἰών,307
618,ἀνδρόνικος,307
619,ἀρτεμιδώρου,307
620,ἴσος,305
621,annos,305
622,xiii,305
623,βάσις,303
624,θεάτρωι,303
625,ἔρως,302
626,Μοῦσα,301
627,ἴσιδι,301
628,γλαυκός,300
629,ἕκτος,299
630,eius,299
631,γυμνάσιον,298
632,aelius,298
633,τες,297
634,Νικίας,297
635,μῆκος,296
636,Ἱέρων,296
637,ἱερομνήμων,295
638,patriae,294
639,ταμιεύοντος,294
640,ἀνυπόδικοι,294
641,πλῆθος,293
642,ζώπυρον,292
643,legio,291
644,κοινῆι,290
645,κράτιστος,290
646,λυσανίης,289
647,τέλειος,289
648,Λητώ,289
649,libens,289
650,πανάμου,289
651,ἀζάμιοι,289
652,στήλει,288
653,Ἀσιάς,288
654,κοινῶι,288
655,τεῖχος,287
656,c,286
657,συγγραφή,286
658,δόξα,286
659,καλλίας,285
660,στοά,285
661,ξύλινος,285
662,ποσιδεῶνος,285
663,καταδουλισμῶι,285
664,Κορίνθιος,283
665,Ποσειδώνιος,283
666,στράτωνος,283
667,ἡρακλείτου,283
668,σύλη,283
669,Αἴγυπτος,282
670,ἐτείμησεν,282
671,φυλάσσω,281
672,φιλάνθρωπος,281
673,ἀντίγραφος,281
674,ἀντιστράτηγος,281
675,ποτήριον,280
676,βασιλικός,280
677,θέω,279
678,ο,279
679,εὑρίσκω,279
680,διοκλῆς,279
681,maximus,279
682,ὠρωπίων,279
683,νικάνορος,278
684,Ταράντινος,278
685,σεμνός,277
686,τραιανοῦ,277
687,πρόθυμος,276
688,ἵππος,276
689,λευκίου,276
690,καλλιστράτου,275
691,εὐεργετέω,275
692,Πύθιον,275
693,ἐπιδόντος,275
694,δηλιάδων,275
695,cum,275
696,valerius,275
697,iiii,275
698,χρηματίζω,274
699,τράπεζα,273
700,αὐλητής,273
701,ἐλευθερία,273
702,χαριστήριος,273
703,αἰώνιος,273
704,πρίαμαι,272
705,οἰκέω,272
706,ὑγεία,272
707,solvit,272
708,ἐπικρατής,271
709,κρατήρ,271
710,τάσσω,270
711,κατοικέω,270
712,ἐπίτροπος,270
713,παρμενίωνος,270
714,με,269
715,σῆμα,269
716,κοσμέω,269
717,ἰατρός,268
718,μενάνδρου,268
719,νομίζω,268
720,χορεία,268
721,lucius,268
722,ζωή,266
723,ἀσκλαπιοῦ,266
724,ἀσκλαπιῶι,266
725,ὄμνυμι,265
726,ὕδωρ,265
727,παιδίον,265
728,σωφροσύνη,265
729,αὐρήλιον,265
730,στραταγέοντος,265
731,ἀγριανίου,265
732,συνέδριον,264
733,ὅπλον,263
734,προστάσσω,263
735,νικομάχου,263
736,βοηθέω,262
737,πάλη,262
738,ἐπίχρυσος,261
739,δαίμων,261
740,διοίκησις,261
741,διαφέρω,261
742,augustus,261
743,στάμνος,260
744,διόδωρος,260
745,fecit,260
746,ἀκρόπολις,259
747,Τιμόθεος,258
748,δημότης,258
749,Λακεδαιμόνιος,257
750,καινός,257
751,Ἀρτεμίσιον,257
752,κλέων,256
753,λουκίου,256
754,patri,256
755,ἐπιγράφω,255
756,ἐˉμι,255
757,κῖτε,254
758,σύμπας,253
759,παρατυγχάνω,253
760,Φίλιππος,253
761,εἰκάς,252
762,φανερός,252
763,πάγος,252
764,ἀριστίων,252
765,ἐπίγονος,251
766,Γάϊος,251
767,μακάριος,251
768,hadriani,251
769,νι,250
770,μικρός,250
771,ζώσιμος,250
772,praetore,250
773,προσκύνημα,250
774,Πολιάς,249
775,ἀγένειος,249
776,ξενία,249
777,ἔνατος,249
778,ταμεῖον,249
779,ζαρ,249
780,ὑγιής,248
781,ἀφίημι,248
782,σῖτος,247
783,ἔνκτησιν,247
784,θυμιατήριον,247
785,μέδιμνος,246
786,πλάτος,245
787,συμβάλλω,245
788,Σικυών,245
789,ἀγορανόμος,245
790,στρατός,244
791,πρόνοια,244
792,ἐλπίς,244
793,ναῦς,242
794,ἵππιος,242
795,ἀρτεμίδωρος,242
796,συμμαχία,242
797,ἱππεύς,242
798,βουλευτήριον,242
799,ἀριστεύς,241
800,εὐχάριστος,241
801,ἀγαθοκλῆς,241
802,λεῖος,240
803,πέμπτος,240
804,ἀριστίωνος,240
805,γερουσία,240
806,ὑακινθίου,240
807,ἐτείμησαν,240
808,ἐπιβάλλω,239
809,ἀνάστασις,239
810,ἐπίκτητος,239
811,Ἰωάν(ν)ης,239
812,ποταμός,239
813,κώμη,239
814,χορός,238
815,Χῖος,238
816,στεφανηφόρος,238
817,παρατυγχάνοντες,238
818,ιιιιι,237
819,δεξιός,237
820,θεωρέω,237
821,valerio,237
822,λύσιος,236
823,ἄρειος,236
824,ἐπιστολή,236
825,οἶνος,236
826,pio,235
827,πιστός,234
828,φιλέω,234
